id,listing_url,name,host_identity_verified,room_type,accommodates,bedrooms,amenities,price,minimum_nights,number_of_reviews,last_review,review_scores_rating,instant_bookable,region_name,region_parent_name
3143409,https://www.airbnb.com/rooms/3143409,Dingle Sea View And Walk To Beach,t,Entire home/apt,4,,"[""Shampoo"", ""Bed linens"", ""Heating"", ""Long term stays allowed"", ""Extra pillows and blankets"", ""Cable TV"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Kitchen"", ""Indoor fireplace"", ""Wifi"", ""TV"", ""Private entrance"", ""Hair dryer"", ""Hot water"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Hangers"", ""Refrigerator"", ""Essentials"", ""Babysitter recommendations"", ""Laptop-friendly workspace"", ""Coffee maker"", ""Patio or balcony"", ""Free parking on premises"", ""Stove"", ""Fire extinguisher"", ""Microwave"", ""First aid kit"", ""Oven"", ""Iron""]",$86.00 ,2,307,24-08-20,99,t,Corca Dhuibhne LEA-3,Kerry County Council
3143338,https://www.airbnb.com/rooms/3143338,2 bed apt. close to many amenities,f,Entire home/apt,4,2,"[""Essentials"", ""Kitchen"", ""Cable TV"", ""Dryer"", ""Dishes and silverware"", ""Heating"", ""Microwave"", ""Smoke alarm"", ""Refrigerator"", ""Free parking on premises"", ""Wifi"", ""Washer""]",$130.00 ,2,48,26-08-19,95,f,Dundrum LEA-7,Dun Laoghaire-rathdown County Council
3141495,https://www.airbnb.com/rooms/3141495,Beautiful 300 year old irish cottage,f,Entire home/apt,6,3,"[""Hangers"", ""Bed linens"", ""Hot water"", ""Indoor fireplace"", ""Coffee maker"", ""Pack \u2019n Play/travel crib"", ""Free parking on premises"", ""Wifi"", ""TV"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Stove"", ""Dishwasher"", ""High chair"", ""Washer"", ""Iron"", ""Essentials"", ""Carbon monoxide alarm"", ""Hair dryer"", ""Dryer"", ""Heating"", ""Smoke alarm"", ""Garden or backyard"", ""Long term stays allowed"", ""Extra pillows and blankets"", ""Oven"", ""Host greets you"", ""Refrigerator"", ""Dishes and silverware""]",$90.00 ,4,24,15-08-20,100,t,Adare-Rathkeale LEA-6,Limerick City And County Council
3139142,https://www.airbnb.com/rooms/3139142,Rathgar Dublin 6,t,Private room,2,1,"[""Hangers"", ""Bed linens"", ""Hot water"", ""Coffee maker"", ""Free parking on premises"", ""Wifi"", ""Shampoo"", ""Microwave"", ""First aid kit"", ""Iron"", ""Washer"", ""Essentials"", ""Carbon monoxide alarm"", ""Cable TV"", ""Hair dryer"", ""Heating"", ""Fire extinguisher"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Lock on bedroom door"", ""Laptop-friendly workspace"", ""Long term stays allowed"", ""Extra pillows and blankets"", ""Host greets you"", ""Refrigerator"", ""Dishes and silverware""]",$95.00 ,3,10,15-08-19,100,f,Kimmage-Rathmines LEA-6,Dublin City Council
3137058,https://www.airbnb.com/rooms/3137058,Large sunny double bedroom & luxury bathroom,t,Private room,2,1,"[""Essentials"", ""Carbon monoxide alarm"", ""Hair dryer"", ""Hangers"", ""Free street parking"", ""Private entrance"", ""Heating"", ""Indoor fireplace"", ""Hot water"", ""Smoke alarm"", ""Host greets you"", ""Private living room"", ""Garden or backyard"", ""Wifi"", ""Iron""]",$50.00 ,2,97,09-02-20,98,f,Kimmage-Rathmines LEA-6,Dublin City Council
3136135,https://www.airbnb.com/rooms/3136135,Spacious double with large private en suite.,t,Private room,2,1,"[""Hangers"", ""Bed linens"", ""Hot water"", ""Pack \u2019n Play/travel crib"", ""Free parking on premises"", ""Wifi"", ""Lockbox"", ""Children\u2019s dinnerware"", ""Patio or balcony"", ""Microwave"", ""First aid kit"", ""Iron"", ""Washer"", ""Essentials"", ""Carbon monoxide alarm"", ""Hair dryer"", ""Free street parking"", ""Dryer"", ""Heating"", ""Fire extinguisher"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Garden or backyard"", ""Lock on bedroom door"", ""Laptop-friendly workspace"", ""Long term stays allowed"", ""Children\u2019s books and toys"", ""Extra pillows and blankets"", ""Refrigerator""]",$35.00 ,1,164,26-07-20,91,f,Cork City North East LEA-6,Cork City Council
3132041,https://www.airbnb.com/rooms/3132041,Patrick's self contained 1 bedroom apartment,t,Entire home/apt,2,1,"[""Shampoo"", ""Breakfast"", ""Garden or backyard"", ""Bed linens"", ""Heating"", ""Long term stays allowed"", ""Extra pillows and blankets"", ""Cable TV"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Kitchen"", ""Washer"", ""Smart lock"", ""Wifi"", ""TV"", ""Private entrance"", ""Hair dryer"", ""Hot water"", ""Smoke alarm"", ""Oven"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Hangers"", ""Essentials"", ""Laptop-friendly workspace"", ""Free parking on premises"", ""Fire extinguisher"", ""First aid kit"", ""Refrigerator"", ""Iron""]",$63.00 ,1,413,23-08-20,98,f,Kilrush LEA-5,Clare County Council
3126948,https://www.airbnb.com/rooms/3126948,Big House in the heart of Baltimore,t,Entire home/apt,10,5,"[""Garden or backyard"", ""Bed linens"", ""Heating"", ""Long term stays allowed"", ""Host greets you"", ""Luggage dropoff allowed"", ""Kitchen"", ""Dishes and silverware"", ""Dishwasher"", ""Pack \u2019n Play/travel crib"", ""Washer"", ""Dryer"", ""Indoor fireplace"", ""Wifi"", ""TV"", ""Private entrance"", ""Hot water"", ""Smoke alarm"", ""Room-darkening shades"", ""Crib"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Hangers"", ""Refrigerator"", ""Essentials"", ""Laptop-friendly workspace"", ""Coffee maker"", ""Iron"", ""Patio or balcony"", ""Free street parking"", ""Free parking on premises"", ""Ethernet connection"", ""Stove"", ""Microwave"", ""Fireplace guards"", ""Oven"", ""Bathtub""]",$229.00 ,4,29,21-02-20,97,f,Skibbereen-West Cork LEA-5,Cork County Council
3123695,https://www.airbnb.com/rooms/3123695,Self Catering Apt-Town Centre,t,Entire home/apt,6,2,"[""Hangers"", ""Single level home"", ""Bed linens"", ""Hot water"", ""Free parking on premises"", ""Wifi"", ""TV"", ""Patio or balcony"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Stove"", ""First aid kit"", ""Washer"", ""Iron"", ""Essentials"", ""Carbon monoxide alarm"", ""Hair dryer"", ""Free street parking"", ""Private entrance"", ""Heating"", ""Fire extinguisher"", ""Smoke alarm"", ""Garden or backyard"", ""Laptop-friendly workspace"", ""Air conditioning"", ""Extra pillows and blankets"", ""Oven"", ""Host greets you"", ""Refrigerator"", ""Dishes and silverware""]",$73.00 ,1,33,23-08-20,99,f,Carrick-on-Shannon LEA-6,Leitrim County Council
3121917,https://www.airbnb.com/rooms/3121917,Costellos bed and breakfast,f,Private room,8,4,"[""Shampoo"", ""Breakfast"", ""Bed linens"", ""Heating"", ""Extra pillows and blankets"", ""Host greets you"", ""Luggage dropoff allowed"", ""Pack \u2019n Play/travel crib"", ""Dryer"", ""Washer"", ""Indoor fireplace"", ""Wifi"", ""TV"", ""Hair dryer"", ""Hot water"", ""Carbon monoxide alarm"", ""Hangers"", ""Essentials"", ""Laptop-friendly workspace"", ""Lock on bedroom door"", ""Fire extinguisher"", ""First aid kit"", ""Smoke alarm"", ""Iron""]",$53.00 ,1,316,26-08-20,90,f,Conamara South LEA-5,Galway County Council
3113667,https://www.airbnb.com/rooms/3113667,Private Family Beach House in Blissful Location,t,Entire home/apt,6,3,"[""Garden or backyard"", ""High chair"", ""Bed linens"", ""Heating"", ""Long term stays allowed"", ""Dishes and silverware"", ""Kitchen"", ""Dishwasher"", ""Dryer"", ""Washer"", ""Indoor fireplace"", ""Wifi"", ""TV"", ""Hair dryer"", ""Hot water"", ""Smoke alarm"", ""Room-darkening shades"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Hangers"", ""Refrigerator"", ""Essentials"", ""Laptop-friendly workspace"", ""Children\u2019s dinnerware"", ""Iron"", ""Patio or balcony"", ""Free street parking"", ""Free parking on premises"", ""Stove"", ""Fire extinguisher"", ""Microwave"", ""First aid kit"", ""Oven"", ""Bathtub""]",$123.00 ,2,31,01-08-20,93,f,Kenmare LEA-6,Kerry County Council
3110929,https://www.airbnb.com/rooms/3110929,Quiet and cosy double room with private bathroom,t,Private room,2,1,"[""Essentials"", ""Kitchen"", ""Cable TV"", ""Hangers"", ""Heating"", ""Smoke alarm"", ""Wifi""]",$55.00 ,2,39,23-07-17,96,f,Kimmage-Rathmines LEA-6,Dublin City Council
3109576,https://www.airbnb.com/rooms/3109576,Comfortable cottage on Galway Bay,t,Entire home/apt,4,2,"[""Shampoo"", ""Garden or backyard"", ""Bed linens"", ""Heating"", ""Long term stays allowed"", ""Extra pillows and blankets"", ""Host greets you"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Kitchen"", ""Pack \u2019n Play/travel crib"", ""Dryer"", ""Washer"", ""Wifi"", ""TV"", ""Private entrance"", ""Hair dryer"", ""Hot water"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Hangers"", ""Refrigerator"", ""Essentials"", ""Laptop-friendly workspace"", ""Children\u2019s books and toys"", ""Coffee maker"", ""Free street parking"", ""Free parking on premises"", ""Stove"", ""Fire extinguisher"", ""Microwave"", ""First aid kit"", ""Oven"", ""Iron""]",$60.00 ,7,141,10-08-20,100,f,Gort-Kinvara LEA-5,Galway County Council
3109535,https://www.airbnb.com/rooms/3109535,"Dublin South Central City, double room, en-suite",t,Private room,2,1,"[""Essentials"", ""Waterfront"", ""Carbon monoxide alarm"", ""Laptop-friendly workspace"", ""Hair dryer"", ""Hangers"", ""Shower gel"", ""Free street parking"", ""Bed linens"", ""Heating"", ""Hot water"", ""Elevator"", ""Fire extinguisher"", ""Keypad"", ""Shampoo"", ""Smoke alarm"", ""First aid kit"", ""Wifi"", ""Iron""]",$41.00 ,2,354,14-03-20,95,f,South West Inner City LEA-5,Dublin City Council
3104048,https://www.airbnb.com/rooms/3104048,double bedroom in smithfield,t,Private room,1,1,"[""Shampoo"", ""First aid kit"", ""Dryer"", ""Washer"", ""Essentials"", ""Fire extinguisher"", ""Wifi"", ""TV"", ""Heating"", ""Elevator"", ""Smoke alarm"", ""Kitchen""]",$45.00 ,1,5,30-09-16,92,f,North Inner City LEA-7,Dublin City Council
3104001,https://www.airbnb.com/rooms/3104001,"Miller Cottage, Rathmullan, Donegal",f,Entire home/apt,7,3,"[""Garden or backyard"", ""High chair"", ""Heating"", ""Cable TV"", ""Kitchen"", ""Dishes and silverware"", ""Dishwasher"", ""Pack \u2019n Play/travel crib"", ""Dryer"", ""Washer"", ""Indoor fireplace"", ""Wifi"", ""TV"", ""Hair dryer"", ""Hot water"", ""Smoke alarm"", ""Crib"", ""Oven"", ""Cooking basics"", ""Hangers"", ""Essentials"", ""Laptop-friendly workspace"", ""Children\u2019s dinnerware"", ""Children\u2019s books and toys"", ""Iron"", ""Patio or balcony"", ""Free street parking"", ""Free parking on premises"", ""Fire extinguisher"", ""Game console"", ""Microwave"", ""Fireplace guards"", ""Refrigerator"", ""Bathtub""]",$130.00 ,4,55,08-08-20,96,f,Milford LEA-3,Donegal County Council
3103864,https://www.airbnb.com/rooms/3103864,Georgian house in heart of Kenmare,t,Entire home/apt,3,2,"[""Wifi"", ""Kitchen"", ""Pack \u2019n Play/travel crib"", ""Fire extinguisher"", ""Shampoo"", ""Hair dryer"", ""Smoke alarm"", ""Free street parking"", ""Essentials"", ""Heating"", ""Free parking on premises"", ""First aid kit"", ""TV"", ""Cable TV"", ""Carbon monoxide alarm"", ""Hot water"", ""Breakfast"", ""Lockbox""]",$70.00 ,1,351,29-08-20,97,f,Kenmare LEA-6,Kerry County Council
3102302,https://www.airbnb.com/rooms/3102302,Village house with organic garden,f,Private room,2,5,"[""Bathtub"", ""Hangers"", ""Babysitter recommendations"", ""Hot water"", ""Indoor fireplace"", ""Free parking on premises"", ""Wifi"", ""TV"", ""Shampoo"", ""Kitchen"", ""Building staff"", ""First aid kit"", ""Washer"", ""Iron"", ""Essentials"", ""Carbon monoxide alarm"", ""Hair dryer"", ""Free street parking"", ""Dryer"", ""Private entrance"", ""Heating"", ""Fire extinguisher"", ""Smoke alarm"", ""Lock on bedroom door"", ""Laptop-friendly workspace""]",$40.00 ,2,77,02-08-20,93,f,Killarney LEA-7,Kerry County Council
3100055,https://www.airbnb.com/rooms/3100055,"Holiday House, Ballydavid, Dingle.",f,Entire home/apt,10,4,"[""Shampoo"", ""Bed linens"", ""Heating"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Kitchen"", ""Dryer"", ""Washer"", ""Waterfront"", ""Indoor fireplace"", ""Private entrance"", ""TV"", ""Hair dryer"", ""Hot water"", ""Crib"", ""Outlet covers"", ""Essentials"", ""Laptop-friendly workspace"", ""Children\u2019s books and toys"", ""Beachfront"", ""Iron"", ""Free parking on premises"", ""Smoke alarm"", ""Bathtub""]",$143.00 ,5,9,31-08-19,93,f,Corca Dhuibhne LEA-3,Kerry County Council
3099791,https://www.airbnb.com/rooms/3099791,"Avondale B & B., Dublin Road, Naas.",f,Private room,2,1,"[""Essentials"", ""Breakfast"", ""Carbon monoxide alarm"", ""Cable TV"", ""Heating"", ""Fire extinguisher"", ""Smoke alarm"", ""First aid kit"", ""Free parking on premises"", ""Wifi"", ""TV"", ""Shampoo""]",$50.00 ,1,62,01-03-20,98,f,Naas LEA-7,Kildare County Council
3096382,https://www.airbnb.com/rooms/3096382,Old City Temple Bar- Large Roof Terrace,t,Entire home/apt,5,2,"[""Shampoo"", ""Air conditioning"", ""Bed linens"", ""Heating"", ""Long term stays allowed"", ""Extra pillows and blankets"", ""Host greets you"", ""Cable TV"", ""Dishes and silverware"", ""Kitchen"", ""Pack \u2019n Play/travel crib"", ""Dryer"", ""Washer"", ""Wifi"", ""TV"", ""Hair dryer"", ""Hot water"", ""Smoke alarm"", ""Crib"", ""Oven"", ""Cooking basics"", ""Hangers"", ""Carbon monoxide alarm"", ""Essentials"", ""Laptop-friendly workspace"", ""Children\u2019s books and toys"", ""Paid parking off premises"", ""Patio or balcony"", ""Stove"", ""Fire extinguisher"", ""Microwave"", ""Refrigerator"", ""Iron""]",$211.00 ,4,180,14-03-20,94,f,South East Inner City LEA-5,Dublin City Council
3093370,https://www.airbnb.com/rooms/3093370,Garden View,t,Private room,2,1,"[""Shampoo"", ""Breakfast"", ""Garden or backyard"", ""Bed linens"", ""Heating"", ""Extra pillows and blankets"", ""Cable TV"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Kitchen"", ""Dishwasher"", ""Dryer"", ""Washer"", ""Indoor fireplace"", ""Wifi"", ""TV"", ""Hair dryer"", ""Hot water"", ""Smoke alarm"", ""Room-darkening shades"", ""Oven"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Private living room"", ""Hangers"", ""Essentials"", ""Laptop-friendly workspace"", ""First aid kit"", ""Patio or balcony"", ""Free street parking"", ""Free parking on premises"", ""Microwave"", ""Fireplace guards"", ""Refrigerator"", ""Iron""]",$40.00 ,2,9,25-08-19,100,f,Cabra-Glasnevin LEA-7,Dublin City Council
3088332,https://www.airbnb.com/rooms/3088332,Quiet Double Room Great City Centre Location,t,Private room,4,1,"[""Shampoo"", ""Hangers"", ""Washer"", ""Essentials"", ""Bed linens"", ""Wifi"", ""Laptop-friendly workspace"", ""Heating"", ""Hair dryer"", ""Extra pillows and blankets"", ""Smoke alarm"", ""Iron"", ""Kitchen""]",$51.00 ,2,20,08-07-19,98,f,South West Inner City LEA-5,Dublin City Council
3088179,https://www.airbnb.com/rooms/3088179,Private Double Room Apartment in the heart of Cork,t,Entire home/apt,2,1,"[""Hangers"", ""Bed linens"", ""Hot water"", ""Wifi"", ""Shampoo"", ""Kitchen"", ""Paid parking off premises"", ""Cooking basics"", ""Microwave"", ""Stove"", ""First aid kit"", ""Washer"", ""Iron"", ""Essentials"", ""Carbon monoxide alarm"", ""Hair dryer"", ""Heating"", ""Fire extinguisher"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Laptop-friendly workspace"", ""Long term stays allowed"", ""Extra pillows and blankets"", ""Oven"", ""Host greets you"", ""Refrigerator"", ""Dishes and silverware""]",$51.00 ,5,271,20-03-20,95,f,Cork City South Central LEA-6,Cork City Council
3088138,https://www.airbnb.com/rooms/3088138,"House in  Rosbrin Cove, Schull,",f,Entire home/apt,9,5,"[""Garden or backyard"", ""High chair"", ""Bed linens"", ""Heating"", ""Long term stays allowed"", ""Extra pillows and blankets"", ""Host greets you"", ""Cable TV"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Kitchen"", ""Dishwasher"", ""Pack \u2019n Play/travel crib"", ""Washer"", ""Dryer"", ""Waterfront"", ""Indoor fireplace"", ""Window guards"", ""TV"", ""Hair dryer"", ""Hot water"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Hangers"", ""Refrigerator"", ""Essentials"", ""Laptop-friendly workspace"", ""Children\u2019s books and toys"", ""Coffee maker"", ""Iron"", ""Patio or balcony"", ""Free parking on premises"", ""Barbecue utensils"", ""Microwave"", ""Oven"", ""Bathtub""]",$183.00 ,7,10,22-08-20,88,f,Bantry-West Cork LEA-4,Cork County Council
3086034,https://www.airbnb.com/rooms/3086034,Seaside retreat for 2,f,Entire home/apt,2,1,"[""Shampoo"", ""Single level home"", ""Heating"", ""Host greets you"", ""Cable TV"", ""Dishes and silverware"", ""Kitchen"", ""Wifi"", ""TV"", ""Hot water"", ""Cooking basics"", ""Hangers"", ""Refrigerator"", ""Essentials"", ""Laptop-friendly workspace"", ""Coffee maker"", ""Patio or balcony"", ""Free parking on premises"", ""Fire extinguisher"", ""Microwave"", ""Smoke alarm"", ""Iron""]",$66.00 ,1,113,19-08-20,95,f,Corca Dhuibhne LEA-3,Kerry County Council
3082388,https://www.airbnb.com/rooms/3082388,Mack's Bed and Breakfast,t,Private room,2,1,"[""Shampoo"", ""Breakfast"", ""Garden or backyard"", ""Bed linens"", ""Heating"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Dryer"", ""Washer"", ""Wifi"", ""TV"", ""Hair dryer"", ""Hot water"", ""Carbon monoxide alarm"", ""Hangers"", ""Essentials"", ""Lock on bedroom door"", ""Free parking on premises"", ""First aid kit"", ""Smoke alarm"", ""Iron""]",$56.00 ,2,43,22-08-19,99,t,Kenmare LEA-6,Kerry County Council
3080838,https://www.airbnb.com/rooms/3080838,Mack`s Bed & Breakfast Family Room,t,Private room,3,1,"[""Gym"", ""Breakfast"", ""Free parking on premises"", ""Wifi"", ""TV"", ""Heating"", ""Host greets you""]",$60.00 ,2,46,25-08-19,97,t,Kenmare LEA-6,Kerry County Council
3078186,https://www.airbnb.com/rooms/3078186,Superb large house\app 3ml  Kenmare,t,Entire home/apt,12,,"[""Shampoo"", ""Heating"", ""Long term stays allowed"", ""Host greets you"", ""Cable TV"", ""Dishes and silverware"", ""Kitchen"", ""Pack \u2019n Play/travel crib"", ""Washer"", ""Indoor fireplace"", ""Wifi"", ""TV"", ""Hair dryer"", ""Hot water"", ""Carbon monoxide alarm"", ""Hangers"", ""Laptop-friendly workspace"", ""Children\u2019s books and toys"", ""Free parking on premises"", ""Fire extinguisher"", ""First aid kit"", ""Smoke alarm"", ""Iron""]",$125.00 ,2,106,23-08-20,94,f,Kenmare LEA-6,Kerry County Council
3076665,https://www.airbnb.com/rooms/3076665,Centre 3km -Ensuite- B&B,f,Private room,2,1,"[""Shampoo"", ""Breakfast"", ""Free street parking"", ""Free parking on premises"", ""Private living room"", ""Dryer"", ""Essentials"", ""Bed linens"", ""Wifi"", ""Laptop-friendly workspace"", ""Heating"", ""Hair dryer"", ""Extra pillows and blankets"", ""Hot water"", ""Shower gel"", ""Lock on bedroom door"", ""Smoke alarm"", ""Iron""]",$76.00 ,2,140,06-08-18,93,f,Cabra-Glasnevin LEA-7,Dublin City Council
3074863,https://www.airbnb.com/rooms/3074863,The Tower House,f,Entire home/apt,3,3,"[""Essentials"", ""Carbon monoxide alarm"", ""Kitchen"", ""Hair dryer"", ""Long term stays allowed"", ""Hangers"", ""Dryer"", ""Iron"", ""Heating"", ""Hot water"", ""Fire extinguisher"", ""Keypad"", ""Shampoo"", ""Smoke alarm"", ""First aid kit"", ""Wifi"", ""TV"", ""Washer""]",$170.00 ,2,22,01-03-20,98,f,Cork City South Central LEA-6,Cork City Council
3066599,https://www.airbnb.com/rooms/3066599,Drumcreehy Country House,f,Private room,2,1,"[""Shampoo"", ""Breakfast"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Essentials"", ""Fire extinguisher"", ""Indoor fireplace"", ""Wifi"", ""TV"", ""Heating"", ""Beachfront"", ""First aid kit"", ""Smoke alarm""]",$110.00 ,1,20,09-08-20,98,f,Ennistimon LEA-4,Clare County Council
